Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "USB_PCB_V1.brd" as of: 27/08/2021 4:50 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.378,0.252,90
C2,Top,0.378,0.193,90
C3,Top,0.343,0.591,0
C4,Top,0.343,0.488,0
C5,Top,0.343,0.673,270
D1,Top,0.583,-0.134,90
J1,Top,0.055,0.000,0
L1,Top,0.555,0.449,90
R1,Top,0.720,-0.067,90
R2,Top,0.720,-0.134,90
R3,Top,0.720,-0.201,90
R4,Top,0.752,-0.327,270
R5,Top,0.209,0.354,180
R6,Top,0.295,0.354,0
R7,Top,0.461,-0.020,270
R8,Top,0.461,0.043,270
S1,Top,0.579,-0.370,180
U2,Top,0.378,0.354,90
